Person_ID,Age,Annual_Income,Rent_Amount,Utilities_Amount,Education_Expenditure,Healthcare_Expenditure,Luxury_Spending,Savings_to_Income_Ratio,Travel_Expenditure,Missed_Payment_Rent,Missed_Payment_Utilities,Employment_Stability,Debt_to_Income_Ratio,Tax_Compliance,Dependents,Aspirational_Spending_Ratio,Emergency_Fund_Ratio,Pre_Cursor_Credit_Score
09b4ab32-c539-49f5-9892-589c8f8f62b9,30,10000.0,1380.32,320.02,281.48,7624.72,3857.96,0.101,234.4,11,11,3,0.356,1,4,0.409,0.1,473.7
977dc807-bc54-474d-b18f-53f45899ec7f,46,49559.3,1283.87,331.06,23692.62,8710.73,9393.53,0.992,4649.16,1,0,4,0.095,1,5,0.283,1.75,745.41
d66f687f-7f36-4800-8d0e-3cc3796aeafd,38,72437.23,1383.02,397.76,262.75,7549.98,25678.26,0.105,20000.0,10,11,6,0.951,1,1,0.5,0.263,450.29
42c124c3-c4d4-4f8c-bae7-785d85d5926b,18,46266.42,1373.5,363.08,9896.3,2756.73,9322.52,0.149,6708.66,3,2,0,1.275,1,1,0.346,0.292,543.64
53e79f05-040a-4f52-aa82-d2519efc2da7,38,64581.27,491.24,116.74,402.18,10635.26,3586.68,0.694,8218.48,0,0,0,0.556,1,2,0.183,2.5,690.28
8bad8f09-2548-4caa-8259-4df82651878b,31,57023.31,1454.75,410.09,429.75,6619.0,3054.21,0.198,2564.68,2,1,8,0.901,1,2,0.099,0.389,611.97
fcbd3e51-d17b-4f09-8e6c-ac8f7c8a94ac,28,56833.2,931.59,184.9,0.73,3289.66,3383.18,0.152,14306.11,10,12,2,0.719,1,5,0.311,0.518,452.5
b9a2ccf6-fcb8-4118-949c-8ce3d1ee0b74,41,44573.7,761.66,179.17,44.75,3010.11,724.77,0.196,1782.61,0,2,1,0.48,1,1,0.056,0.611,630.74
4cbba711-82a4-4dc1-9d8f-a4ac6f3e248a,45,25668.38,758.22,179.5,346.42,983.93,6840.28,0.109,809.2,7,6,11,0.404,1,3,0.298,0.229,565.96
4b5de522-288b-4cc8-bfa8-dd46b6718257,44,27569.4,1373.42,281.51,467.37,2238.73,9261.98,0.289,3630.89,4,5,9,0.64,1,1,0.468,0.361,591.89
b5140337-848b-4821-8ccf-4f643fc2f790,27,64187.05,1110.97,256.75,230.05,8246.9,4067.16,0.308,8408.12,0,0,8,0.417,1,3,0.194,0.802,680.65
ce5382f6-8e53-4b53-b6da-37589aca8dd0,32,50389.17,527.21,50.0,346.29,4005.09,15415.51,0.524,14836.62,1,0,11,0.602,1,0,0.5,2.415,694.85
b6a06ce5-32e5-4aa5-a232-9a8c21ca80af,38,47229.76,1391.22,443.41,64.3,10507.73,14115.56,0.467,1807.01,8,8,15,0.869,1,1,0.337,0.678,552.93
c71bc450-7282-4cd7-9ea9-29c6c6a1ec55,45,41522.2,624.16,109.17,13137.66,2361.73,3053.83,0.5,6026.87,6,7,10,0.357,1,3,0.219,1.86,607.67
6992f75e-4397-480e-8429-69c7cc16f862,30,43896.22,1255.93,393.29,264.68,3926.41,8868.85,0.635,2650.17,2,3,1,0.672,1,0,0.262,1.175,632.8
d190abb7-c588-4215-aad0-935d61bf9fa3,33,70938.24,1295.4,325.75,137.79,9752.96,26784.0,0.269,14934.57,0,0,13,0.47,0,2,0.5,0.653,659.22
98a9d5f2-1bf0-4128-8f8a-873e61e853a4,24,43295.12,1554.23,416.8,20258.39,672.98,362.73,0.138,5087.44,1,1,6,1.096,1,3,0.126,0.246,595.35
b18eaa76-b683-4a14-9247-9c8fc2fd6aa1,23,23178.71,1912.67,453.73,210.41,4203.58,1703.03,0.609,4509.19,6,5,1,1.106,1,3,0.268,0.433,548.61
8ffdbe6a-33ab-4728-bc71-3b1c4bacb40f,43,64873.04,654.13,173.93,8588.58,12161.35,32301.21,0.652,6586.13,7,7,11,0.394,1,4,0.5,1.914,612.69
5a603974-a71f-474c-9cd9-5c33140dde22,49,45902.47,1179.01,327.28,154.53,14318.3,16835.76,0.108,7774.22,4,4,8,0.304,1,4,0.5,0.153,604.18
e58ff1ef-1c60-4d1c-88e9-4ef890f2a48a,34,50627.92,1089.47,305.6,1909.85,8850.54,11748.98,0.963,7125.43,12,11,6,0.26,1,3,0.373,1.905,561.57
9e3d1079-e5de-4d90-909b-49bd6e5921bd,45,82151.57,1373.5,382.11,405.43,11851.4,25869.59,0.708,9226.4,11,12,6,0.507,1,0,0.427,1.767,522.79
063f7d64-1049-47e4-b5f2-9657bf6a8138,39,49588.79,1286.27,303.15,170.59,7826.2,20981.54,0.194,7996.56,3,5,12,0.437,1,0,0.5,0.358,614.26
2b45c709-868a-444b-9b8c-10970075fd08,29,55783.67,1058.98,240.73,350.95,1966.85,23493.42,0.971,6422.91,9,8,3,0.255,1,2,0.5,3.084,608.93
72e1e219-a33d-4bea-8597-75885146371d,39,26421.53,1023.64,176.2,92.72,8768.14,4289.55,0.397,6388.87,3,3,12,0.925,1,0,0.404,0.453,614.03
0c38a6bf-220a-4ed0-836a-625687676f0a,50,45606.61,753.42,214.52,17895.1,15052.07,11203.07,1.0,6775.83,4,2,19,1.055,1,1,0.394,1.71,681.0
df13772e-0048-43c0-b5ee-94cda6e5a49b,35,62190.52,1595.14,452.9,400.72,5663.9,19840.49,0.148,16849.79,6,6,4,0.766,1,2,0.5,0.304,533.47
3e32101a-0823-4358-910d-668c84873578,51,18892.53,1383.68,426.72,120.83,4090.94,679.16,0.238,1262.8,12,10,13,0.332,1,5,0.103,0.174,514.56
0dc143d7-bad2-40ff-bc40-8e48fcd63ac3,18,54016.9,1567.11,407.04,198.43,3176.15,25544.5,0.403,1816.98,6,5,0,0.254,1,0,0.5,0.81,589.51
8f0bc0a3-71db-4ea4-afc9-296c1dde9b4c,43,52015.82,1075.84,230.64,2312.71,9137.31,11254.71,0.071,5944.9,3,5,15,0.557,1,5,0.331,0.149,602.97
9269063c-7a8a-413a-a000-f6ad5b00bbf1,36,50825.75,937.27,149.46,446.58,2307.1,9424.68,0.068,2800.39,0,2,12,0.125,1,1,0.241,0.225,672.71
136135d0-a39a-4e53-90ba-81cd69707d06,32,70743.18,768.67,244.25,314.81,7081.25,32085.58,0.802,8343.15,4,2,9,0.533,1,1,0.5,2.949,679.87
eaabb39c-521f-4123-8fcc-945dc1e8c37b,36,56688.77,1343.57,246.08,302.93,6506.95,3352.76,0.209,3527.36,6,7,11,0.29,1,4,0.121,0.463,583.33
ecca2bdb-10a1-4ee1-bf35-044c8d0dfa03,18,79561.44,784.08,178.99,50.84,3391.48,1561.82,0.548,20000.0,11,9,0,0.354,1,0,0.271,2.917,534.0
5051c150-bab3-441f-819c-c1c7ee4b337d,33,30128.21,1939.47,473.65,341.52,3106.95,10318.95,0.455,5132.98,3,1,0,0.366,1,3,0.5,0.428,640.15
c29c3faf-2d2e-4a87-b737-df79d0803dde,39,52718.49,676.94,165.76,318.52,1863.2,10148.39,0.88,7869.65,6,5,7,0.275,1,0,0.342,3.874,663.52
5d976ac5-16a4-4fea-af3f-335c5ac3d91e,50,51689.34,1309.46,329.16,259.74,9591.54,19757.63,0.469,12215.41,7,7,7,0.926,1,4,0.5,0.829,544.05
4a298eac-e413-4b94-9ce7-43fed1c5318a,30,28614.91,1826.74,463.59,345.13,5411.38,980.7,0.554,1119.13,1,2,6,1.182,1,0,0.073,0.482,617.03
8f561c27-11c3-4d05-9f34-cda7d02739d4,27,69125.9,1439.64,239.14,293.47,2808.1,13263.78,0.351,17772.57,1,0,5,0.131,1,0,0.449,1.057,688.99
e06d9c0a-f2a3-4768-ac9f-6f185b34aa7e,30,96493.47,1270.27,318.3,105.31,2731.33,11353.67,0.675,13990.71,4,3,10,0.387,1,2,0.263,2.989,674.37
25c8f346-2860-4eee-9cb8-3040b1919171,44,49659.88,812.61,91.67,459.83,4701.16,18364.39,0.352,2032.58,2,3,14,0.376,1,4,0.411,1.124,665.27
3ff12d56-7303-4695-85e5-4310d4459001,38,60100.42,647.29,198.43,16809.57,5727.87,6826.51,0.262,14774.09,3,5,2,1.031,1,3,0.359,0.992,555.02
edc20852-3949-4cc2-baa6-982dce9ce3a2,30,51690.37,1508.02,349.25,55.45,8998.34,11835.68,0.127,7145.29,0,2,12,0.52,1,3,0.367,0.21,650.34
f2321ce7-a415-4a73-9c7e-1422a584e0bc,40,35728.31,1802.46,342.76,26833.65,9397.72,14628.56,0.105,6480.41,10,9,7,0.945,1,2,0.5,0.107,468.64
b2b2d5c9-27d8-42a8-99a3-589c06f63e37,36,13584.79,1024.46,215.4,398.61,9434.66,6217.69,0.341,3641.85,3,4,17,1.065,1,2,0.5,0.191,604.07
cb5e0550-4d99-4f60-9f93-339201f9dcf1,45,35884.53,744.38,157.59,161.98,7001.3,12965.18,0.75,9588.62,10,10,6,0.485,1,3,0.5,1.51,550.42
9dde397d-ac2e-42db-8b65-f969c28209e0,28,22160.83,300.0,134.53,18622.72,4532.76,4756.03,0.245,5935.68,3,2,5,0.694,1,3,0.482,0.557,606.71
75601134-aa95-4e9c-b778-ae5b622ec6d1,32,84082.04,807.69,211.75,2692.7,2011.81,24046.87,0.334,10516.58,3,3,8,0.666,1,2,0.411,1.971,623.98
b4c194c7-6224-46eb-9ead-14afe88a42b1,31,47697.81,1154.54,305.86,159.66,6877.67,16448.35,0.91,10726.37,2,0,11,0.499,1,1,0.5,1.779,722.26
9141166d-0f53-4111-acec-8bc9dd8441b7,20,43081.61,1839.65,500.0,251.24,2594.36,18846.75,0.428,3014.91,1,1,2,0.613,1,0,0.5,0.601,643.43
34a92800-d1fd-4f0e-9851-5f0c8d44fa6e,38,67783.08,1469.25,362.51,222.19,8680.92,30115.14,0.924,16901.92,3,2,7,0.7,0,4,0.5,2.043,648.49
dbc42ade-689d-40ed-bb8f-7d62cd78a7f9,38,27564.98,1322.03,368.22,367.65,4782.8,12831.08,0.916,2825.87,12,12,15,0.082,1,3,0.5,1.007,581.72
5106b4df-cbf5-4c26-ac26-8856b28cebfa,35,34662.72,1039.95,294.18,326.81,1168.65,14050.73,0.11,4824.14,7,7,4,0.55,0,4,0.5,0.222,501.19
694c6cf7-0337-4cd6-8af4-faee9d17edc7,33,51361.45,966.73,177.36,162.75,1757.16,3769.88,0.957,13734.95,2,0,4,0.366,1,2,0.341,3.174,723.71
7a558a30-edb7-43dd-aa1d-436fca203d50,21,70575.38,1762.26,500.0,54.19,5243.99,26382.47,0.056,17059.62,5,6,0,0.247,1,3,0.5,0.122,557.58
d45181f3-36f6-4c03-af54-5e8cc2535ac0,31,60033.7,1280.3,249.06,32.73,2466.8,24451.5,0.929,17154.83,1,3,12,0.552,0,0,0.5,2.679,684.34
59a979ea-536a-4824-9ada-6fc17bce02a9,32,54966.5,358.96,135.61,499.07,2602.87,24126.76,0.569,5993.65,0,2,13,0.317,1,0,0.5,3.663,722.5
121e689a-f06b-49ed-8e7e-4a888445a84f,27,51562.35,930.58,156.79,410.62,7720.9,23842.87,0.557,2337.09,6,7,7,0.578,1,1,0.5,1.383,586.3
c8d2c4f0-50b2-4275-ab12-10ec4d78a9b5,33,58004.72,856.71,244.24,334.96,6677.53,14766.84,0.728,15842.43,11,10,11,0.349,1,2,0.5,2.123,567.06
83b76455-88d5-4b82-ae87-72e5f7107ca2,39,54033.06,981.49,338.47,451.36,1371.69,17698.33,0.885,7993.99,11,11,19,0.667,1,3,0.475,2.778,575.73
2558ba29-5286-4a18-940a-8200bea414ec,54,29400.55,1425.16,345.64,157.72,2385.72,140.43,0.728,7844.66,5,5,8,1.178,1,4,0.272,0.906,583.35
82b5e825-d61a-4dc1-99c3-d2c5a50a13d7,37,50921.58,1157.02,276.44,203.69,3100.8,14583.52,0.454,11183.5,12,12,14,0.125,0,0,0.5,1.139,511.13
e9785c03-0aa1-4a7f-8903-9db8a37a4032,38,28526.23,1169.25,322.83,23554.93,6945.18,6749.28,0.156,7486.45,9,9,14,1.558,1,2,0.499,0.179,458.37
b4db62b6-bfb5-47d7-b893-6495a9f39318,34,51621.65,1725.39,414.88,16224.31,7875.71,24837.91,0.8,10139.36,3,5,12,0.316,1,4,0.5,1.231,677.38
c43403af-0bd2-43fd-8cbd-b23c46080456,18,40387.04,921.42,321.27,13758.53,1520.29,18208.68,0.119,9842.79,6,7,0,0.845,0,1,0.5,0.292,479.06
a9205ec8-e732-4b55-8854-954f97088413,35,100787.63,1945.68,496.03,418.79,9376.15,40194.3,0.74,3638.51,5,5,14,0.202,1,1,0.435,1.928,673.56
1074365d-bf69-4320-9236-027826ff4bf1,36,49202.11,931.48,216.86,26.82,1209.38,1402.12,0.552,14292.64,1,0,4,1.322,1,1,0.319,1.812,625.1
50f42a1f-ca08-4096-8064-abca59186e4a,60,21915.21,1235.68,281.91,304.53,3832.6,4405.27,0.45,1189.86,3,2,9,0.196,1,4,0.255,0.447,668.25
2ee7f8c7-9c77-4370-b11f-ecb31535432d,33,47316.4,1087.52,225.23,130.09,9853.95,16467.11,0.632,347.81,8,6,6,1.32,1,3,0.355,1.168,529.52
9de61c59-47be-43d6-baf6-2331a1a36b2f,38,60387.17,1249.37,280.95,23322.38,1575.48,895.56,0.784,9616.19,7,5,11,1.028,1,5,0.174,2.374,598.56
f87ce771-a568-4134-bc2e-02ee03d973fb,35,83467.28,1377.84,326.93,17755.66,9564.28,9841.37,0.944,17826.41,5,5,16,1.006,1,1,0.331,2.625,644.45
1934cb9a-027c-4f97-a055-6080fe425e5a,23,38210.95,1373.53,319.0,22716.44,4981.69,16956.25,0.216,8212.51,12,12,0,0.429,1,1,0.5,0.326,455.12
7a9ba942-1b8a-4faa-8c2b-fc5d4e03d8d0,46,18351.44,898.75,191.78,155.11,1034.46,1190.83,0.968,1867.62,0,2,4,0.672,1,5,0.167,1.258,693.04
d1c9d9e8-ff6b-4594-9256-91e60246ff56,43,66336.74,750.83,292.65,9.52,6399.81,1703.98,0.963,15002.02,6,7,8,0.431,1,3,0.252,3.376,643.61
df264756-0d1b-41e0-b370-194ee8941399,43,22388.03,2201.27,498.81,236.94,6866.5,6499.09,0.823,5658.98,0,0,4,0.373,1,5,0.5,0.469,713.33
55cf0b48-e4e9-49ae-8216-10651cf25708,26,41276.89,1006.41,258.93,63.14,7457.12,19533.56,0.887,7553.82,7,7,6,0.678,1,2,0.5,1.617,597.17
a292773f-a776-4d27-b253-5626bc6803c3,49,44847.59,1479.68,399.55,365.48,6348.96,18715.45,0.814,5193.24,2,4,13,0.133,1,4,0.5,1.263,710.08
ded9ce08-1b3b-4b36-85fb-7cccbe4b1233,21,48607.33,556.94,170.74,16616.26,2886.78,23690.54,0.059,8947.27,8,6,2,0.196,1,0,0.5,0.247,543.46
f50d3133-658d-45bd-8488-8987c78d8037,41,63783.29,1088.15,269.11,192.14,1419.03,24031.09,0.596,16498.77,12,10,8,0.713,1,0,0.5,2.147,515.0
443664b9-6352-4d9f-9a6f-ff113a283c6a,57,36327.31,1149.12,275.24,73.28,11210.1,7944.23,0.856,9813.52,4,5,11,0.158,1,4,0.489,1.099,681.36
dfa9d742-ab3a-43b4-9765-f3d000b604db,25,44525.41,1389.13,369.86,14217.7,1622.28,21074.24,0.945,420.99,5,4,4,0.569,1,0,0.483,1.851,645.34
f9b732c2-1b22-41fa-af2d-17969171c5ea,29,49714.59,300.0,88.33,21270.45,691.84,10604.95,0.592,1825.5,3,3,6,0.962,1,0,0.25,5.499,638.82
cf64adee-137b-4acc-80bc-907aa00c5b61,36,52991.96,1266.46,303.67,255.15,11042.8,9276.1,0.804,71.76,5,7,4,0.55,1,3,0.176,1.426,608.61
e77f5753-de2f-44c1-9fe8-621165540071,30,51956.54,740.1,106.93,211.94,2488.89,11643.35,0.72,7675.68,8,9,3,0.231,1,2,0.372,2.956,589.17
aabba3a1-a10c-4188-b425-1916dfcf6408,19,58720.12,1329.74,309.04,491.04,824.62,23898.32,0.165,7687.48,6,8,0,0.746,1,1,0.5,0.473,510.13
06ccd880-81b2-4333-b11f-31b401bcee24,36,66876.79,785.47,139.04,27159.52,7748.2,30686.2,0.197,10950.44,1,0,16,0.668,1,0,0.5,0.699,667.65
a961b07a-621e-4e89-bbef-e82d1262aff8,24,57852.68,857.81,181.09,70.17,6067.81,10346.43,0.523,11865.24,10,8,2,0.421,1,1,0.384,1.632,541.8
00097a79-4673-4a1e-8897-a99621930e91,40,59071.71,1090.55,274.3,131.62,788.65,13652.87,0.272,6482.24,5,6,4,0.298,1,5,0.341,0.936,587.37
4edb67bb-3551-4177-83de-4e60b04ee722,26,18355.54,779.07,212.7,321.03,843.15,8244.64,0.282,1148.56,10,9,3,0.537,1,0,0.5,0.406,501.93
5a986d71-1211-4831-a6fd-3848c87351b5,50,51004.55,1009.79,341.47,451.59,1387.29,1199.72,0.727,6041.29,10,8,0,1.316,1,2,0.142,2.107,494.22
80f0c3cd-d84d-41cd-9176-d592f76b8424,27,59590.15,722.65,153.79,5323.87,390.12,23355.43,0.8,161.09,12,12,9,0.638,1,3,0.395,4.371,535.93
643f5ab2-11af-410d-876e-b9e275d9f797,32,64578.82,466.73,155.41,14710.81,6493.11,14666.42,0.603,16069.41,12,12,0,0.566,1,2,0.476,2.79,491.18
8677e190-2add-4f1c-89cc-9ff77000a767,43,36152.98,1607.18,417.09,392.47,7783.84,6806.13,0.891,4161.85,11,11,13,0.82,1,3,0.303,1.004,539.45
3e42c1df-bf2b-443e-9079-2ca47667b9f5,23,36819.21,681.58,235.19,441.25,4690.63,8227.64,0.162,6879.17,8,7,4,0.577,1,2,0.41,0.38,523.97
d5f6022c-bc35-4f91-90b7-2cb763b98941,37,38517.99,1128.53,310.94,437.63,5756.83,8063.56,0.29,3752.33,7,8,8,0.584,1,1,0.307,0.485,545.63
0657ce58-51a6-4cb7-98c8-6ec43baa2b7c,48,60728.28,1501.16,324.87,15781.13,12073.96,22974.07,0.697,11200.95,12,11,0,0.744,1,1,0.5,1.245,486.22
c5fe79b7-28db-43d5-81e0-de6f6c8d1879,19,70677.62,954.02,152.35,83.26,3195.91,32792.56,0.421,11459.01,10,12,1,0.519,1,0,0.5,1.806,492.78
9b718fca-9d5a-4035-953f-0ad72c07e3c3,37,41850.8,869.93,233.05,51.78,10459.58,10283.91,0.562,2618.51,12,11,12,0.763,1,5,0.308,0.993,505.39
4d74839e-7dfb-4519-aba4-8d4cc6c565b5,38,68159.25,1290.5,296.2,9257.6,5678.35,28379.26,0.06,12786.48,0,0,8,0.501,1,0,0.5,0.165,650.91
9f8518b1-fbbf-4843-bdbe-a08c91b6f367,43,52469.6,1647.17,362.78,21226.45,10461.02,19202.42,0.693,1725.55,4,2,14,0.636,1,3,0.399,1.052,667.11
a1b2a8f3-61ea-440d-a8d3-5ee46bdda455,23,47514.28,732.27,119.69,238.02,2882.86,7856.03,0.516,6857.53,5,3,2,0.823,0,0,0.31,1.871,567.61
0d6a8d3c-a3a9-4350-9705-975b445b2357,22,45772.32,1139.94,293.03,246.26,2946.13,13441.36,0.194,9885.15,8,9,2,0.496,1,3,0.5,0.441,510.98
